Symbole,Signal,Score,Prix,Tendance,RSI,Domaine,CapRange,ParamKey,Volume moyen,Consensus,ConsensusMean,dPrice,dMACD,dRSI,dVolRel,Rev. Growth (%),EBITDA Yield (%),FCF Yield (%),D/E Ratio,Market Cap (B$),Fiabilite,detection_time
JOBY,ACHAT,6.48,14.779999732971191,Hausse,50.37,Industrials,Large,Industrials_Large,19776320.0,Neutre,,-0.85,21.01,-0.85,3.63,80521.4,-4.77,-2.38,5.09,12.97,100.0,2025-12-23 11:25:52
KEY,ACHAT,4.064,21.209999084472656,Hausse,79.25,Financial Services,Large,Financial Services_Large,17540193.33,Achat,2.04545,0.39,2.53,0.14,-10.04,202.6,0.0,0.0,0.0,23.26,100.0,2025-12-23 11:25:52
IVZ,ACHAT,4.064,27.34000015258789,Hausse,68.95,Financial Services,Large,Financial Services_Large,4815766.67,Achat,2.38462,0.74,-0.1,1.61,0.0,8.2,7.57,6.24,10.98,12.19,66.66666666666666,2025-12-23 11:25:52
KTOS,ACHAT,7.355,81.52999877929688,Hausse,56.56,Industrials,Large,Industrials_Large,2286123.33,Achat,1.52941,0.07,7.15,0.49,8.09,26.0,0.54,-0.68,6.78,12.73,100.0,2025-12-23 11:25:52
INCY,ACHAT,6.45,100.70999908447266,Hausse,53.27,Healthcare,Large,Healthcare_Large,2079260.0,Achat,2.28,0.76,-105.49,2.96,0.0,20.0,6.57,2.64,0.89,20.16,100.0,2025-12-23 11:25:52
L,ACHAT,7.05,108.08000183105469,Hausse,62.96,Financial Services,Large,Financial Services_Large,906446.67,Neutre,,0.43,8.38,1.83,3.04,4.6,11.08,11.2,49.12,22.42,100.0,2025-12-23 11:25:52
ILMN,ACHAT,5.518,137.60000610351562,Hausse,66.47,Healthcare,Large,Healthcare_Large,1639930.0,Achat,2.42105,0.37,-4.27,-0.08,0.0,0.4,5.63,4.05,108.19,20.72,100.0,2025-12-23 11:25:52
KEYS,ACHAT,6.35,203.7100067138672,Hausse,59.02,Technology,Large,Technology_Large,1356930.0,Achat,1.76923,-0.79,-13.5,-3.96,17.55,10.3,3.39,3.57,47.24,35.0,55.55555555555556,2025-12-23 11:25:52
JBL,ACHAT,4.35,229.77999877929688,Hausse,60.27,Technology,Large,Technology_Large,1310233.33,Achat,1.66667,0.71,-3.91,1.58,0.0,18.7,8.71,5.0,250.04,24.55,50.0,2025-12-23 11:25:52
KDP,ACHAT,8.85,28.239999771118164,Baisse,51.46,Consumer Defensive,Large,Consumer Defensive_Large,16626803.33,Achat,1.94118,-0.87,-23.96,-5.34,0.36,10.7,7.61,3.63,73.57,38.37,100.0,2025-12-23 11:25:52
KR,ACHAT,7.25,62.290000915527344,Baisse,42.59,Consumer Defensive,Large,Consumer Defensive_Large,6942350.0,Achat,2.16667,-0.02,-0.94,0.75,2.51,0.7,11.98,6.2,357.99,41.28,100.0,2025-12-23 11:25:52
KO,ACHAT,6.29,70.20999908447266,Baisse,50.03,Consumer Defensive,Mega,Consumer Defensive_Mega,17689310.0,Achat,1.625,0.07,-22.75,0.42,0.64,5.1,5.41,0.47,144.77,301.51,50.0,2025-12-23 11:25:52
IBM,ACHAT,6.23,302.7900085449219,Baisse,50.38,ℹ️Inconnu!!,Mega,ℹ️Inconnu!!_Mega,3762506.67,Achat,2.47619,-0.33,-73.67,-2.04,0.0,9.1,5.35,4.18,237.83,281.34,85.71428571428571,2025-12-23 11:25:52
IDXX,ACHAT,6.377,702.1199951171875,Baisse,50.14,Healthcare,Large,Healthcare_Large,577463.33,Achat,2.2,0.03,99.29,0.31,0.0,13.3,2.57,1.21,71.29,56.03,100.0,2025-12-23 11:25:52
IMB.L,ACHAT,7.1,3147.0,Baisse,45.07,Consumer Defensive,Large,Consumer Defensive_Large,1985550.07,Achat,1.83333,-0.23,99.5,-1.4,197.17,4.6,15.97,9.87,189.01,25.23,100.0,2025-12-23 11:25:52
