Symbole,Signal,Score,Prix,Tendance,RSI,Domaine,CapRange,ParamKey,Volume moyen,Consensus,ConsensusMean,dPrice,dMACD,dRSI,dVolRel,Rev. Growth (%),EBITDA Yield (%),FCF Yield (%),D/E Ratio,Market Cap (B$),Fiabilite,detection_time
ISP.MI,ACHAT,2.47,5.885000228881836,Hausse,51.45,Financial Services,Large,Financial Services_Large,51909635.27,Achat,2.0,0.21,-3.96,1.2,2.81,-3.1,0.0,0.0,0.0,100.16,100.0,2026-02-26 20:13:59
HG=F,ACHAT,5.616,6.021500110626221,Hausse,56.36,Unknown,Unknown,Unknown,2288.4,Neutre,,0.82,6.54,2.37,8.09,0.0,0.0,0.0,0.0,0.0,75.0,2026-02-26 20:13:59
IBRX,ACHAT,1.185,9.055000305175781,Hausse,62.49,Healthcare,Mid,Healthcare_Mid,54404184.5,Achat,1.2,4.76,8.23,0.49,9.28,407.0,-2.11,0.0,0.0,11.38,100.0,2026-02-26 20:13:59
HST,ACHAT,4.454,20.184999465942383,Hausse,61.06,Real Estate,Large,Real Estate_Large,8929814.2,Achat,1.95,-0.16,-2.57,-2.24,-32.74,12.8,8.77,0.0,83.78,14.07,100.0,2026-02-26 20:13:59
HL,ACHAT,2.876,24.225000381469727,Hausse,53.12,Basic Materials,Large,Basic Materials_Large,28164967.43,Neutre,2.7,1.47,532.58,1.61,-17.49,79.5,4.4,0.99,11.0,15.84,83.33333333333334,2026-02-26 20:13:59
INGA.AS,ACHAT,7.85,24.969999313354492,Hausse,52.69,Financial Services,Large,Financial Services_Large,7321363.4,Achat,2.10526,0.21,-0.19,0.7,-0.65,43.5,0.0,0.0,0.0,72.34,80.0,2026-02-26 20:13:59
IVZ,ACHAT,3.676,26.969999313354492,Hausse,51.68,Financial Services,Large,Financial Services_Large,6212031.47,Achat,2.33333,0.1,0.83,0.7,-31.01,6.2,8.83,0.0,14.03,11.63,75.0,2026-02-26 20:13:59
IBKR,ACHAT,5.684,73.98999786376953,Hausse,51.92,Financial Services,Large,Financial Services_Large,5299311.13,Achat,1.55556,-0.17,-50.93,-0.48,-23.43,18.6,0.0,0.0,121.0,122.26,66.66666666666666,2026-02-26 20:13:59
HSIC,ACHAT,3.284,81.4000015258789,Hausse,57.54,Healthcare,Mid,Healthcare_Mid,1450300.67,Achat,2.5,1.01,8.77,2.71,19.19,7.7,6.99,2.89,71.67,9.87,100.0,2026-02-26 20:13:59
J,ACHAT,8.922,138.77000427246094,Hausse,50.69,Industrials,Large,Industrials_Large,972695.87,Achat,2.0,-0.34,24.97,-0.62,-28.38,12.3,6.99,6.85,65.17,15.89,100.0,2026-02-26 20:13:59
JCI,ACHAT,8.431,144.05499267578125,Hausse,72.39,Industrials,Large,Industrials_Large,5178332.03,Achat,2.04545,0.36,-0.1,-0.41,-11.72,6.8,4.24,3.14,73.34,88.17,83.33333333333334,2026-02-26 20:13:59
ICE,ACHAT,3.508,162.52999877929688,Hausse,51.2,Financial Services,Large,Financial Services_Large,4452608.67,Achat,1.6,0.68,-2.77,3.4,-15.2,7.8,5.73,3.93,70.08,88.58,33.33333333333333,2026-02-26 20:13:59
IEX,ACHAT,7.878,207.9199981689453,Hausse,59.42,Industrials,Large,Industrials_Large,938653.27,Achat,1.92857,-0.13,-10.07,-1.08,-51.33,4.2,5.52,3.43,48.25,15.69,100.0,2026-02-26 20:13:59
JBHT,ACHAT,10.305,228.61000061035156,Hausse,60.87,Industrials,Large,Industrials_Large,1141083.17,Achat,2.04,-0.01,-5.91,-1.34,-10.08,-1.6,7.04,3.48,48.26,21.77,66.66666666666666,2026-02-26 20:13:59
HON,ACHAT,7.067,241.4499969482422,Hausse,67.08,Industrials,Large,Industrials_Large,4483817.6,Achat,2.16,0.02,-4.24,-1.0,-19.55,-3.3,4.74,2.84,236.61,164.16,80.0,2026-02-26 20:13:59
HWM,ACHAT,7.454,260.25,Hausse,74.32,Industrials,Large,Industrials_Large,2894945.47,Achat,1.36364,0.61,4.86,0.2,-43.71,14.6,2.24,0.88,60.02,104.75,100.0,2026-02-26 20:13:59
HUBS,ACHAT,4.29,265.8299865722656,Hausse,47.24,Technology,Large,Technology_Large,2160010.17,Achat,1.37838,0.32,-7.3,2.47,0.73,0.0,0.0,0.0,0.0,12.27,33.33333333333333,2026-02-26 20:13:59
JBL,ACHAT,3.731,271.1199951171875,Hausse,60.31,Technology,Large,Technology_Large,1070792.07,Neutre,,0.8,3.77,0.61,-3.87,18.7,7.63,4.17,255.83,28.44,100.0,2026-02-26 20:13:59
ITW,ACHAT,7.878,289.07000732421875,Hausse,60.64,Industrials,Large,Industrials_Large,1526983.5,Neutre,3.38889,-0.37,-7.31,-3.11,-0.83,4.1,5.07,2.6,285.52,83.31,40.0,2026-02-26 20:13:59
HII,ACHAT,8.154,440.739990234375,Hausse,60.48,Industrials,Large,Industrials_Large,603817.83,Achat,2.36364,0.62,6.57,0.44,-15.36,15.7,5.85,3.97,58.76,17.3,100.0,2026-02-26 20:13:59
IAG.L,ACHAT,12.858,457.29998779296875,Hausse,62.13,Industrials,Large,Industrials_Large,14952539.8,Achat,1.64706,0.25,-1.92,0.27,2.28,0.0,23.98,0.0,248.48,20.88,100.0,2026-02-26 20:13:59
