Symbole,Signal,Score,Prix,Tendance,RSI,Domaine,CapRange,ParamKey,Volume moyen,Consensus,ConsensusMean,dPrice,dMACD,dRSI,dVolRel,Rev. Growth (%),EBITDA Yield (%),FCF Yield (%),D/E Ratio,Market Cap (B$),Fiabilite,detection_time
CTMX,ACHAT,3.98,4.260000228881836,Hausse,55.31,Healthcare,Small,Healthcare_Small,2494122.97,Neutre,,0.2,-5.8,0.1,3.89,-82.2,4.21,-7.69,5.21,0.72,100.0,2026-01-09 03:10:08
DHT,ACHAT,3.351,13.430000305175781,Hausse,69.27,Energy,Small,Energy_Small,1113488.47,Neutre,,2.2,41.55,10.79,0.0,-13.4,13.7,7.8,25.02,1.89,42.10526315789473,2026-01-09 03:10:08
GILT,ACHAT,2.096,15.010000228881836,Hausse,73.29,Technology,Small,Technology_Small,345497.47,Neutre,,1.86,9.38,1.73,0.0,57.7,5.24,7.68,16.65,0.86,60.0,2026-01-09 03:10:08
HMY,ACHAT,6.44,20.610000610351562,Hausse,53.62,Basic Materials,Large,Basic Materials_Large,2346131.0,Neutre,,0.99,6.03,3.45,0.0,22.7,1471.28,85.39,4.92,12.22,50.0,2026-01-09 03:10:08
INGA.AS,ACHAT,8.637,24.100000381469727,Hausse,60.56,Financial Services,Large,Financial Services_Large,3649288.13,Neutre,,-0.19,-1.45,-5.0,0.0,-0.1,0.0,0.0,0.0,70.98,37.5,2026-01-09 03:10:08
FRO,ACHAT,5.854,24.43000030517578,Hausse,67.07,Energy,Mid,Energy_Mid,1753585.03,Achat,1.25,2.74,57.07,10.03,0.0,-11.8,9.6,10.41,139.33,4.58,52.94117647058824,2026-01-09 03:10:08
PFE,ACHAT,16.01,25.290000915527344,Hausse,51.08,Healthcare,Large,Healthcare_Large,43884772.47,Achat,2.42308,0.24,-31.62,1.57,6.92,-5.9,12.85,9.99,66.53,143.17,100.0,2026-01-09 03:10:08
QBTS,ACHAT,6.6,29.280000686645508,Hausse,53.64,Technology,Large,Technology_Large,33245844.03,Neutre,,2.42,14.99,2.03,0.98,99.9,-0.93,-0.37,5.93,10.04,100.0,2026-01-09 03:10:08
ENPH,ACHAT,7.24,35.43000030517578,Hausse,69.94,Technology,Mid,Technology_Mid,3306286.2,Neutre,2.84848,0.8,6.99,2.02,0.0,7.8,6.74,3.21,123.98,4.42,50.0,2026-01-09 03:10:08
LTC,ACHAT,4.08,35.61000061035156,Hausse,59.47,Real Estate,Small,Real Estate_Small,376468.17,Neutre,2.875,0.54,77.25,3.96,3.67,33.1,5.61,5.53,90.62,1.65,70.0,2026-01-09 03:10:08
DOCN,ACHAT,9.24,52.470001220703125,Hausse,64.94,Technology,Mid,Technology_Mid,980381.77,Neutre,,1.34,10.0,2.71,0.0,15.7,4.59,4.1,0.0,4.48,100.0,2026-01-09 03:10:08
