Symbole,Signal,Score,Prix,Tendance,RSI,Domaine,Volume moyen,Fiabilite,detection_time
0038.HK,ACHAT,7.91,7.179999828338623,Hausse,51.48,Industrials,4409871.33,0,2025-10-04 01:45:55
0066.HK,ACHAT,5.62,26.3799991607666,Baisse,43.58,Industrials,6442080.63,0,2025-10-04 01:45:55
1211.HK,VENTE,-1.11,109.4000015258789,Baisse,47.97,Consumer Cyclical,40863263.8,0,2025-10-04 01:45:55
2020.HK,ACHAT,5.227,92.6500015258789,Baisse,47.49,Consumer Cyclical,10828288.93,0,2025-10-04 01:45:55
2386.HK,ACHAT,5.212,6.71999979019165,Baisse,46.49,Industrials,6266400.53,0,2025-10-04 01:45:55
3690.HK,ACHAT,4.383,106.0999984741211,Hausse,48.94,Consumer Cyclical,88109501.17,0,2025-10-04 01:45:55
AAL,ACHAT,5.21,11.579999923706055,Baisse,39.92,Industrials,82172886.03,0,2025-10-04 01:45:55
ABBN.SW,ACHAT,5.245,58.63999938964844,Hausse,69.38,Industrials,1996655.87,0,2025-10-04 01:45:55
ABG,ACHAT,4.445,253.38999938964844,Hausse,58.23,Consumer Cyclical,146750.5,0,2025-10-04 01:45:55
ADBE,ACHAT,7.4,346.739990234375,Baisse,44.39,Technology,4943349.37,0,2025-10-04 01:45:55
ADSK,ACHAT,8.36,318.8999938964844,Hausse,54.16,Technology,1663609.27,0,2025-10-04 01:45:55
ADYEN.AS,VENTE,-1.4,1445.5999755859375,Hausse,56.57,Technology,61789.73,0,2025-10-04 01:45:55
AEO,ACHAT,5.227,16.940000534057617,Baisse,52.82,Consumer Cyclical,14634981.03,0,2025-10-04 01:45:55
AGI,VENTE,-3.28,34.0099983215332,Hausse,62.67,Basic Materials,3922050.03,0,2025-10-04 01:45:55
AGI.TO,VENTE,-3.28,47.439998626708984,Hausse,64.42,Basic Materials,1263422.87,0,2025-10-04 01:45:55
AGM,VENTE,-2.03,163.1199951171875,Baisse,21.91,Financial Services,76896.23,0,2025-10-04 01:45:55
AIR.PA,ACHAT,5.245,203.5500030517578,Hausse,72.21,Industrials,932632.07,0,2025-10-04 01:45:55
ALHF.PA,VENTE,-2.36,4.110000133514404,Baisse,39.83,Technology,2837.0,0,2025-10-04 01:45:55
ALK,ACHAT,5.64,49.189998626708984,Baisse,30.43,Industrials,2785067.8,0,2025-10-04 01:45:55
AN,ACHAT,5.2,224.3800048828125,Hausse,61.78,Consumer Cyclical,338257.27,0,2025-10-04 01:45:55
ARCC,VENTE,-2.73,20.149999618530273,Baisse,29.09,Financial Services,3906539.53,0,2025-10-04 01:45:55
ATOM-USD,ACHAT,7.96,4.28704833984375,Hausse,47.69,ℹ️Inconnu!!,120944481.37,0,2025-10-04 01:45:55
BAS.DE,ACHAT,7.13,44.27000045776367,Hausse,59.01,Basic Materials,1405879.4,0,2025-10-04 01:45:55
BAX,ACHAT,9.37,23.860000610351562,Hausse,55.24,Healthcare,4526735.93,0,2025-10-04 01:45:55
BB,VENTE,-2.78,4.5,Baisse,56.18,Technology,9129876.8,0,2025-10-04 01:45:55
BFLY,ACHAT,9.124,2.3299999237060547,Hausse,72.14,Healthcare,4030899.33,0,2025-10-04 01:45:55
BP.L,ACHAT,5.37,423.75,Baisse,46.85,Energy,19666675.3,0,2025-10-04 01:45:55
