Symbole,Signal,Score,Prix,Tendance,RSI,Domaine,Volume moyen,dPrice,dMACD,dRSI,dVolRel,Rev. Growth (%),EBITDA (B$),FCF (B$),D/E Ratio,Market Cap (B$),Fiabilite,detection_time
CACI,ACHAT,4.6,556.6099853515625,Baisse,40.19,Technology,234062.17,-6.059,-2.071,-2.233,0.088,11.2,1.02,0.37,79.59,12.12,41.66666666666667,2025-12-19 23:41:06
BAYN.DE,ACHAT,6.5,35.880001068115234,Hausse,68.92,Healthcare,3432411.13,-0.2,-0.051,-1.725,-0.02,-3.1,8.08,5.17,133.46,35.25,100.0,2025-12-19 23:41:06
BFLY,ACHAT,5.25,3.559999942779541,Hausse,64.67,Healthcare,6014204.2,0.072,0.003,0.881,0.067,4.5,-0.06,0.0,10.32,0.9,100.0,2025-12-19 23:41:06
BIDU,ACHAT,8.7,123.81999969482422,Hausse,52.59,Communication Services,3100678.97,-0.844,-0.144,-0.848,-0.025,-7.1,28.82,21.75,33.81,43.16,100.0,2025-12-19 23:41:06
BIIB,ACHAT,19.85,174.8000030517578,Hausse,55.63,Healthcare,2400590.53,-0.505,-0.549,-1.03,0.074,2.8,3.41,2.14,36.19,25.64,100.0,2025-12-19 23:41:06
BOE,ACHAT,5.4,11.729999542236328,Hausse,58.82,Financial Services,172696.33,-0.023,-0.006,-1.543,0.035,-21.1,0.0,0.01,0.0,0.67,100.0,2025-12-19 23:41:06
BP.L,ACHAT,7.95,424.8500061035156,Baisse,37.54,Energy,36845542.73,-3.486,-1.151,-1.565,0.079,2.5,28.66,11.98,96.36,65.0,60.0,2025-12-19 23:41:06
BURL,ACHAT,5.43,278.760009765625,Hausse,55.45,Consumer Cyclical,1167594.7,0.775,0.38,0.388,0.01,7.1,1.15,-0.46,389.52,17.54,66.66666666666666,2025-12-19 23:41:06
CAT,ACHAT,9.35,576.219970703125,Baisse,51.64,Industrials,2659735.9,-8.115,-1.703,-3.311,0.021,9.5,13.96,6.29,201.05,269.95,66.66666666666666,2025-12-19 23:41:06
CCJ,ACHAT,12.2,89.98999786376953,Hausse,50.98,Energy,4159571.53,-1.07,-0.197,-1.459,0.015,-14.7,0.94,0.79,14.85,39.29,50.0,2025-12-19 23:41:06
CDE,ACHAT,14.65,18.25,Hausse,60.71,Basic Materials,17791054.57,0.167,0.058,0.769,0.023,76.9,0.71,0.19,12.17,11.72,66.66666666666666,2025-12-19 23:41:06
CDTX,ACHAT,7.75,220.8000030517578,Hausse,84.31,Healthcare,1875310.67,0.097,-1.202,-0.111,0.069,0.0,-0.16,-0.03,0.47,6.94,33.33333333333333,2025-12-19 23:41:06
COLL,ACHAT,5.25,48.880001068115234,Hausse,67.83,Healthcare,582987.63,0.065,-0.056,-0.332,0.063,31.4,0.4,0.31,340.7,1.55,100.0,2025-12-19 23:41:06
CRL,ACHAT,7.75,197.05999755859375,Hausse,64.94,Healthcare,900659.13,0.22,0.254,-0.55,0.007,-0.5,0.88,0.55,76.25,9.7,100.0,2025-12-19 23:41:06
CRON,ACHAT,5.5,2.9600000381469727,Hausse,60.41,Healthcare,2996293.9,0.014,0.017,-1.601,-0.134,6.1,-0.01,-0.02,0.15,1.13,100.0,2025-12-19 23:41:06
CSCO,ACHAT,7.25,78.41999816894531,Hausse,57.72,Technology,24700668.97,-0.363,-0.134,-1.946,0.067,7.5,15.68,12.41,63.23,309.84,50.0,2025-12-19 23:41:06
CSX,ACHAT,5.95,36.5,Hausse,57.21,Industrials,13358677.0,-0.118,0.006,-1.79,0.054,-0.9,6.54,0.92,155.28,68.05,50.0,2025-12-19 23:41:06
CTSH,ACHAT,7.5,85.41000366210938,Hausse,79.7,Technology,5041325.43,0.163,0.022,-0.061,0.071,7.4,3.78,2.31,7.85,41.71,40.0,2025-12-19 23:41:06
CYTK,ACHAT,9.02,62.720001220703125,Baisse,50.22,Healthcare,1861647.43,0.157,-0.113,0.501,-0.002,318.1,-0.56,-0.32,0.0,7.67,50.0,2025-12-19 23:41:06
