Symbole,Signal,Score,Prix,Tendance,RSI,Domaine,Volume moyen,dPrice,dMACD,dRSI,dVolRel,Rev. Growth (%),EBITDA (B$),FCF (B$),D/E Ratio,Market Cap (B$),Fiabilite,detection_time
ALAB,ACHAT,6.968,164.39999389648438,Hausse,52.46,Technology,6113983.33,-1.941,-0.564,-0.586,0.02,103.9,0.11,0.12,2.46,24.64,66.66666666666666,2025-12-21 23:08:42
AMD,ACHAT,5.17,213.42999267578125,Baisse,47.77,Technology,41632190.0,-2.312,-0.466,-0.9,0.045,35.6,6.05,3.25,6.37,327.33,100.0,2025-12-21 23:08:42
APLD,ACHAT,7.373,27.850000381469727,Hausse,51.1,Technology,27013320.0,-0.864,-0.288,-1.737,0.06,84.3,0.01,-0.97,63.2,6.67,100.0,2025-12-21 23:08:42
ASML.AS,ACHAT,4.99,901.5999755859375,Baisse,49.32,Technology,598133.17,-8.668,-2.806,-1.968,0.078,0.7,12.16,9.32,14.24,344.36,100.0,2025-12-21 23:08:42
AXSM,ACHAT,7.895,152.64999389648438,Hausse,61.92,Healthcare,511570.0,0.18,-0.164,0.015,0.05,63.2,-0.19,-0.02,296.49,7.41,100.0,2025-12-21 23:08:42
CACI,ACHAT,7.6,556.6099853515625,Baisse,40.19,Technology,241516.67,-6.059,-2.071,-2.233,0.085,11.2,1.02,0.37,79.59,12.12,40.0,2025-12-21 23:08:42
CDTX,ACHAT,4.41,220.8000030517578,Hausse,84.19,Healthcare,1850366.67,0.097,-1.157,-0.117,0.071,0.0,-0.16,-0.03,0.47,6.94,100.0,2025-12-21 23:08:42
DBK.DE,ACHAT,4.985,32.96500015258789,Hausse,62.07,Financial Services,4026072.97,0.037,0.013,-0.196,0.021,8.9,0.0,0.0,0.0,62.63,100.0,2025-12-21 23:08:42
EEM,ACHAT,8.02,53.720001220703125,Hausse,52.17,ℹ️Inconnu!!,25456846.67,-0.143,-0.033,-1.349,0.009,0.0,0.0,0.0,0.0,40.03,100.0,2025-12-21 23:08:42
GILT,ACHAT,4.6,11.8100004196167,Baisse,47.34,Technology,611960.0,-0.21,-0.008,-2.012,0.004,57.7,0.04,0.07,16.65,0.73,66.66666666666666,2025-12-21 23:08:42
GS,ACHAT,5.26,893.47998046875,Hausse,65.72,Financial Services,2157643.33,-2.396,-0.059,-1.596,0.031,20.7,0.0,0.0,586.14,265.27,100.0,2025-12-21 23:08:42
MU,ACHAT,8.2,265.9200134277344,Hausse,61.41,Technology,27486366.67,-1.023,-0.601,-0.951,0.106,56.7,22.23,0.51,21.13,279.75,80.0,2025-12-21 23:08:42
NXPI,ACHAT,6.34,226.27000427246094,Hausse,59.11,Technology,3067420.0,-1.157,-0.042,-1.705,0.064,-2.4,4.0,1.66,117.34,55.99,50.0,2025-12-21 23:08:42
QBTS,ACHAT,6.248,26.81999969482422,Hausse,51.49,Technology,31481226.67,-0.243,-0.035,-0.369,-0.017,99.9,-0.08,-0.04,5.93,8.89,100.0,2025-12-21 23:08:42
RHM.DE,VENTE,-6.23,1559.5,Baisse,43.76,Industrials,216365.6,-3.405,4.15,-0.369,-0.03,13.3,1.92,-0.0,47.17,69.46,72.72727272727273,2025-12-21 23:08:42
SEMR,ACHAT,5.176,11.869999885559082,Hausse,79.5,Technology,3320190.0,0.003,-0.047,-0.019,0.053,15.1,0.0,0.06,4.67,1.77,66.66666666666666,2025-12-21 23:08:42
SGMT,ACHAT,7.945,6.28000020980835,Baisse,43.31,Healthcare,583270.0,-0.024,0.005,0.162,0.111,0.0,0.0,-0.03,0.1,0.19,100.0,2025-12-21 23:08:42
SMCI,ACHAT,6.535,31.110000610351562,Baisse,36.64,Technology,23689103.33,-0.678,-0.038,-0.994,0.053,-15.5,0.99,-0.0,79.18,17.53,33.33333333333333,2025-12-21 23:08:42
SMTC,ACHAT,11.96,72.97000122070312,Hausse,51.57,Technology,1933266.67,-1.283,-0.422,-2.275,0.01,12.7,0.17,0.13,91.19,6.57,80.0,2025-12-21 23:08:42
SPY,ACHAT,8.02,680.5900268554688,Hausse,54.16,ℹ️Inconnu!!,84189030.0,-1.558,-0.434,-1.493,0.03,0.0,0.0,0.0,0.0,620.85,100.0,2025-12-21 23:08:42
TMDX,ACHAT,4.85,127.66999816894531,Baisse,48.41,Healthcare,783896.67,-0.836,-0.705,-0.486,0.001,32.2,0.12,0.09,146.21,4.36,100.0,2025-12-21 23:08:42
VOOG,ACHAT,9.9,443.510009765625,Hausse,52.01,ℹ️Inconnu!!,200870.0,-1.452,-0.463,-1.445,-0.063,0.0,0.0,0.0,0.0,7.47,100.0,2025-12-21 23:08:42
