Symbole,Signal,Score,Prix,Tendance,RSI,Domaine,Volume moyen,Fiabilite,detection_time
2020.HK,ACHAT,7.0200000000000005,89.80000305175781,Baisse,45.77,Consumer Cyclical,8873639.27,0.0,2025-08-12 14:04:40
ABBN.SW,ACHAT,4.145,53.7400016784668,Hausse,64.99,Industrials,2171988.0,100.0,2025-08-12 14:04:40
AMD,ACHAT,4.303,172.27999877929688,Hausse,62.55,Technology,57222653.33,75.0,2025-08-12 14:04:40
AMZN,ACHAT,6.2940000000000005,221.3000030517578,Baisse,49.55,Consumer Cyclical,40946783.33,0.0,2025-08-12 14:04:40
ASML.AS,ACHAT,4.072000000000001,623.2999877929688,Hausse,49.77,Technology,546707.07,0.0,2025-08-12 14:04:40
BABA,ACHAT,6.2940000000000005,118.63999938964844,Baisse,52.04,Consumer Cyclical,9494103.33,100.0,2025-08-12 14:04:40
ENR.DE,ACHAT,3.8499999999999996,101.19999694824219,Hausse,62.06,Industrials,1153352.87,66.66666666666666,2025-08-12 14:04:40
FLEX,ACHAT,6.911,50.15999984741211,Baisse,51.34,Technology,3776706.67,71.42857142857143,2025-08-12 14:04:40
MP,VENTE,-3.6260000000000003,72.69000244140625,Hausse,75.49,Basic Materials,14593110.0,0.0,2025-08-12 14:04:40
NVDA,ACHAT,4.303,182.05999755859375,Hausse,68.51,Technology,148110350.0,66.66666666666666,2025-08-12 14:04:40
QCOM,ACHAT,7.148,147.97000122070312,Baisse,40.95,Technology,7440320.0,0.0,2025-08-12 14:04:40
TSM,ACHAT,4.5920000000000005,242.08999633789062,Hausse,57.15,Technology,8586220.0,66.66666666666666,2025-08-12 14:04:40
WELL,ACHAT,6.835999999999999,168.02999877929688,Hausse,65.32,Real Estate,2258463.33,0.0,2025-08-12 14:04:40
