Symbole,Signal,Score,Prix,Tendance,RSI,Domaine,CapRange,ParamKey,Volume moyen,Consensus,ConsensusMean,dPrice,dMACD,dRSI,dVolRel,Rev. Growth (%),EBITDA Yield (%),FCF Yield (%),D/E Ratio,Market Cap (B$),Fiabilite,detection_time
CTMX,ACHAT,5.5,4.25,Hausse,55.75,Healthcare,Small,Healthcare_Small,2504378.5,Neutre,,0.08,3.05,-0.43,-1.25,-82.2,4.21,-7.69,5.21,0.72,100.0,2026-01-03 03:40:47
TNGX,ACHAT,6.4,8.930000305175781,Hausse,50.74,Healthcare,Small,Healthcare_Small,2792673.3,Neutre,,0.49,4.28,1.34,20.41,363.6,-9.96,-5.19,21.72,1.2,50.0,2026-01-03 03:40:47
INTC,ACHAT,12.1,39.380001068115234,Hausse,56.77,Technology,Large,Technology_Large,76880637.23,Neutre,3.04444,0.84,-0.09,2.26,5.77,2.8,4.88,-2.35,39.88,187.84,100.0,2026-01-03 03:40:47
CELH,ACHAT,8.5,47.75,Hausse,57.2,Consumer Defensive,Large,Consumer Defensive_Large,5326639.9,Achat,1.73913,0.86,74.79,1.86,0.98,172.9,3.12,2.67,30.2,12.31,100.0,2026-01-03 03:40:47
NVDA,ACHAT,5.8,188.85000610351562,Hausse,54.86,Technology,Mega,Technology_Mega,186532049.03,Achat,1.32812,0.11,35.87,0.01,-0.63,62.5,2.51,1.16,9.1,4597.93,100.0,2026-01-03 03:40:47
AMAT,ACHAT,8.5,268.8699951171875,Hausse,61.0,Technology,Mega,Technology_Mega,6727597.3,Achat,1.86842,0.23,-4.31,0.21,3.65,-3.5,4.23,1.71,34.53,214.19,50.0,2026-01-03 03:40:47
GEV,ACHAT,7.2,679.5499877929688,Hausse,58.19,Industrials,Large,Industrials_Large,3347513.83,Achat,1.78125,0.11,-4.29,0.05,-0.94,11.8,1.67,1.33,11.1,181.66,100.0,2026-01-03 03:40:47
LLY,ACHAT,7.75,1080.3599853515625,Hausse,64.18,Healthcare,Mega,Healthcare_Mega,3138595.93,Achat,1.7,0.06,-0.9,-0.08,-4.3,53.9,2.87,0.14,178.52,968.5,100.0,2026-01-03 03:40:47
ASML,ACHAT,11.4,1163.780029296875,Hausse,65.39,Technology,Mega,Technology_Mega,1347655.17,Achat,1.7027,0.82,3.74,2.04,6.99,0.7,2.71,2.06,14.24,451.72,100.0,2026-01-03 03:40:47
OPEN,ACHAT,5.6,6.070000171661377,Baisse,42.83,Real Estate,Mid,Real Estate_Mid,74501138.47,Neutre,3.44444,-1.21,3.35,-1.13,-3.61,-33.6,-2.76,12.65,220.34,5.79,30.0,2026-01-03 03:40:47
AVGO,ACHAT,6.8,347.6199951171875,Baisse,45.93,Technology,Mega,Technology_Mega,37068786.4,Achat,1.27083,0.08,-3.12,0.26,-3.31,16.4,20.32,1.52,166.03,1648.16,50.0,2026-01-03 03:40:47
CRWD,ACHAT,2.5,453.5799865722656,Baisse,32.66,Technology,Large,Technology_Large,2319002.43,Achat,1.88889,-0.7,2.25,-2.85,2.29,22.2,-0.08,1.24,20.15,114.35,100.0,2026-01-03 03:40:47
SLSR,VENTE,-5.45,7.840000152587891,Hausse,54.31,Basic Materials,Small,Basic Materials,100287.5,Neutre,,-0.51,-3.52,-2.55,-2.49,0.0,-4.97,-3.61,0.0,1.31,100.0,2026-01-03 03:40:47
