Symbole,Signal,Score,Prix,Tendance,RSI,Domaine,Volume moyen,Fiabilite,detection_time
0038.HK,ACHAT,10.34,7.269999980926514,Hausse,51.34,Industrials,4050308.53,100.0,2025-09-06 21:43:33
0101.HK,ACHAT,5.364,8.489999771118164,Hausse,70.28,Real Estate,11953679.87,80.0,2025-09-06 21:43:33
2382.HK,ACHAT,6.18,79.80000305175781,Hausse,52.84,Technology,11441609.63,100.0,2025-09-06 21:43:33
2386.HK,VENTE,-2.02,6.840000152587891,Hausse,64.27,Industrials,7494924.97,100.0,2025-09-06 21:43:33
2628.HK,ACHAT,6.5,22.579999923706055,Baisse,48.21,Financial Services,100496464.07,71.42857142857143,2025-09-06 21:43:33
ADBE,ACHAT,5.8,348.9700012207031,Baisse,44.97,Technology,3594440.0,0.0,2025-09-06 21:43:33
AGL,VENTE,-2.91,1.2000000476837158,Baisse,39.06,Healthcare,16783843.33,0.0,2025-09-06 21:43:33
AGO,VENTE,-1.02,82.18000030517578,Baisse,48.28,Financial Services,329393.33,0.0,2025-09-06 21:43:33
ALHF.PA,ACHAT,3.167,4.300000190734863,Baisse,45.27,Technology,3740.5,100.0,2025-09-06 21:43:33
ALV.DE,ACHAT,6.5,351.3999938964844,Baisse,42.48,Financial Services,502842.93,71.42857142857143,2025-09-06 21:43:33
BMW.DE,ACHAT,6.294,88.44000244140625,Baisse,49.93,Consumer Cyclical,503711.83,100.0,2025-09-06 21:43:33
BTC,ACHAT,4.42,49.439998626708984,Baisse,47.19,ℹ️Inconnu!!,786753.33,0.0,2025-09-06 21:43:33
BTC-USD,ACHAT,6.12,110761.7265625,Baisse,45.13,ℹ️Inconnu!!,66751272589.8,0.0,2025-09-06 21:43:33
BZ=F,VENTE,-2.14,65.5,Baisse,39.56,ℹ️Inconnu!!,21411.9,0.0,2025-09-06 21:43:33
CAP.PA,ACHAT,2.793,125.0,Hausse,50.38,Technology,285069.43,66.66666666666666,2025-09-06 21:43:33
CRWD,ACHAT,5.36,417.6300048828125,Baisse,41.94,Technology,3117040.0,0.0,2025-09-06 21:43:33
DHT,ACHAT,11.123,12.460000038146973,Hausse,72.61,Energy,916580.0,0.0,2025-09-06 21:43:33
DIA,ACHAT,4.12,454.989990234375,Hausse,58.01,ℹ️Inconnu!!,3091710.0,0.0,2025-09-06 21:43:33
DTE.DE,ACHAT,3.418,31.649999618530273,Hausse,56.75,Communication Services,2790610.7,60.0,2025-09-06 21:43:33
ETH-USD,ACHAT,4.44,4293.86669921875,Baisse,51.26,ℹ️Inconnu!!,45317342526.03,0.0,2025-09-06 21:43:33
FRO,ACHAT,9.915,22.149999618530273,Hausse,69.36,Energy,2302960.0,0.0,2025-09-06 21:43:33
FSK,VENTE,-5.75,18.1299991607666,Baisse,38.36,Financial Services,2170740.0,0.0,2025-09-06 21:43:33
FTNT,VENTE,-5.12,78.83000183105469,Baisse,39.46,Technology,9368850.0,0.0,2025-09-06 21:43:33
GILD,ACHAT,9.07,115.05000305175781,Hausse,52.33,Healthcare,6138366.67,100.0,2025-09-06 21:43:33
HEI.DE,ACHAT,4.54,198.35000610351562,Baisse,47.76,Basic Materials,292455.33,100.0,2025-09-06 21:43:33
LEU,ACHAT,11.123,205.38999938964844,Hausse,53.14,Energy,1019690.0,0.0,2025-09-06 21:43:33
LTC-USD,ACHAT,5.13,111.60016632080078,Baisse,48.03,ℹ️Inconnu!!,746150172.8,0.0,2025-09-06 21:43:33
MARA,VENTE,-0.4,15.1899995803833,Baisse,40.0,Financial Services,32734066.67,0.0,2025-09-06 21:43:33
NOVN.SW,ACHAT,4.825,103.9800033569336,Hausse,68.73,Healthcare,2463730.93,66.66666666666666,2025-09-06 21:43:33
NXE,ACHAT,10.67,7.800000190734863,Hausse,61.49,Energy,6720940.0,0.0,2025-09-06 21:43:33
ORCL,ACHAT,7.855,232.8000030517578,Baisse,48.59,Technology,10086646.67,0.0,2025-09-06 21:43:33
PFE,ACHAT,10.77,24.8799991607666,Hausse,51.66,Healthcare,41040916.67,0.0,2025-09-06 21:43:33
PL=F,VENTE,-0.41,1381.699951171875,Hausse,53.67,ℹ️Inconnu!!,50.5,0.0,2025-09-06 21:43:33
PLTR,ACHAT,5.36,153.11000061035156,Baisse,43.61,Technology,73533780.0,0.0,2025-09-06 21:43:33
QUBT,ACHAT,5.36,15.109999656677246,Baisse,46.6,Technology,14763446.67,0.0,2025-09-06 21:43:33
RGTI,ACHAT,5.36,15.100000381469727,Baisse,49.05,Technology,37681310.0,0.0,2025-09-06 21:43:33
RMS.PA,VENTE,-2.64,2039.0,Baisse,38.34,Consumer Cyclical,56306.9,0.0,2025-09-06 21:43:33
SOL-USD,ACHAT,4.12,202.4684295654297,Hausse,54.24,ℹ️Inconnu!!,8092896330.33,0.0,2025-09-06 21:43:33
STAN.L,ACHAT,6.1,1366.0,Baisse,49.64,Financial Services,3325154.17,71.42857142857143,2025-09-06 21:43:33
STNG,ACHAT,9.358,53.04999923706055,Hausse,76.93,Energy,625500.0,0.0,2025-09-06 21:43:33
TNK,ACHAT,9.358,52.08000183105469,Hausse,76.39,Energy,407806.67,0.0,2025-09-06 21:43:33
TRX-USD,ACHAT,4.44,0.3310893177986145,Baisse,44.03,ℹ️Inconnu!!,1118916585.57,0.0,2025-09-06 21:43:33
ZL=F,VENTE,-1.45,50.560001373291016,Baisse,39.11,ℹ️Inconnu!!,15127.23,0.0,2025-09-06 21:43:33
ZURN.SW,ACHAT,6.5,575.4000244140625,Baisse,49.64,Financial Services,198694.03,71.42857142857143,2025-09-06 21:43:33
