Symbole,Signal,Score,Prix,Tendance,RSI,Domaine,CapRange,ParamKey,Volume moyen,Consensus,ConsensusMean,dPrice,dMACD,dRSI,dVolRel,Rev. Growth (%),EBITDA Yield (%),FCF Yield (%),D/E Ratio,Market Cap (B$),Fiabilite,detection_time
MBOT,ACHAT,6.127,2.190000057220459,Hausse,49.76,Healthcare,Small,Healthcare_Small,2375958.03,Neutre,,0.67,-0.95,1.74,-6.77,0.0,-22.38,-4.49,1.15,0.14,100.0,2026-01-08 23:32:32
CTMX,ACHAT,3.98,4.260000228881836,Hausse,55.31,Healthcare,Small,Healthcare_Small,2494122.97,Neutre,,0.2,-5.8,0.1,3.89,-82.2,4.21,-7.69,5.21,0.72,100.0,2026-01-08 23:32:32
TIGR,ACHAT,4.16,10.020000457763672,Hausse,55.92,Financial Services,Small,Financial Services_Small,3380184.83,Neutre,,1.45,22.0,1.59,8.7,79.5,0.0,0.0,21.27,1.86,50.0,2026-01-08 23:32:32
QBTS,ACHAT,6.6,29.280000686645508,Hausse,53.64,Technology,Large,Technology_Large,33245844.03,Neutre,,2.42,14.99,2.03,0.98,99.9,-0.93,-0.37,5.93,10.04,100.0,2026-01-08 23:32:32
APLD,ACHAT,8.963,31.940000534057617,Hausse,59.58,Technology,Mid,Technology_Mid,28355771.63,Achat,1.2,3.6,36.27,3.85,8.05,84.3,0.08,-12.37,63.2,7.85,100.0,2026-01-08 23:32:32
INTC,ACHAT,5.8,41.11000061035156,Hausse,59.54,Technology,Large,Technology_Large,78305005.47,Neutre,3.04444,1.94,26.01,4.07,12.56,2.8,4.88,-2.35,39.88,187.84,100.0,2026-01-08 23:32:32
CRSP,ACHAT,6.16,56.400001525878906,Hausse,50.87,Healthcare,Mid,Healthcare_Mid,1723326.57,Achat,2.03571,1.26,2872.82,3.63,7.33,47.7,-13.44,-4.04,11.01,5.12,100.0,2026-01-08 23:32:32
CDTX,ACHAT,7.411,221.3800048828125,Hausse,83.73,Healthcare,Mid,Healthcare_Mid,950326.67,Neutre,3.0,0.06,-8.68,0.1,0.0,0.0,-2.45,-0.46,0.47,6.95,100.0,2026-01-08 23:32:32
PRAX,ACHAT,8.05,294.3800048828125,Hausse,64.46,Healthcare,Mid,Healthcare_Mid,804734.43,Achat,1.4,-0.68,-5.53,-2.09,-6.71,0.0,-4.25,-1.86,0.13,7.16,100.0,2026-01-08 23:32:32
NXP,ACHAT,9.39,14.140000343322754,Baisse,46.22,Financial Services,Small,Financial Services_Small,192566.13,Neutre,,0.07,-3.7,2.37,-25.15,9.1,0.0,0.0,0.0,0.73,100.0,2026-01-08 23:32:32
RAPT,ACHAT,4.65,31.200000762939453,Baisse,46.44,Healthcare,Small,Healthcare_Small,424996.1,Neutre,,-1.85,139.08,-3.16,1.58,0.0,-15.34,-5.26,1.71,0.88,100.0,2026-01-08 23:32:32
ALAB,ACHAT,2.475,156.72999572753906,Baisse,47.24,Technology,Large,Technology_Large,5312966.83,Neutre,,-1.12,-3.25,-1.97,13.95,103.9,0.38,0.38,2.46,30.33,100.0,2026-01-08 23:32:32
CRWD,ACHAT,6.3,463.8699951171875,Baisse,40.77,Technology,Large,Technology_Large,2375624.23,Achat,1.88889,-0.25,2.42,0.98,11.31,22.2,-0.08,1.24,20.15,114.35,100.0,2026-01-08 23:32:32
SLSR,VENTE,-6.6,8.020000457763672,Hausse,55.02,Basic Materials,Small,Basic Materials,107789.77,Neutre,,0.48,-3.94,0.31,-6.85,0.0,-4.97,-3.61,0.0,1.31,100.0,2026-01-08 23:32:32
MBLY,VENTE,-8.54,11.239999771118164,Hausse,49.08,Consumer Cyclical,Mid,Consumer Cyclical_Mid,7124186.2,Neutre,,1.89,-1197.93,5.45,21.13,3.7,-3.27,6.96,0.51,9.14,44.44444444444444,2026-01-08 23:32:32
SEZL,VENTE,-8.09,75.94000244140625,Hausse,59.27,Financial Services,Mid,Financial Services_Mid,882562.07,Achat,1.5,2.16,-2.89,3.42,2.06,67.0,11.13,3.25,76.1,2.23,50.0,2026-01-08 23:32:32
LLY,VENTE,-5.145,1085.18994140625,Hausse,59.0,Healthcare,Mega,Healthcare_Mega,3097906.23,Achat,1.7,0.13,-4.83,-1.39,12.18,53.9,2.87,0.14,178.52,968.5,100.0,2026-01-08 23:32:32
