Symbole,Signal,Score,Prix,Tendance,RSI,Domaine,CapRange,ParamKey,Volume moyen,Consensus,ConsensusMean,dPrice,dMACD,dRSI,dVolRel,Rev. Growth (%),EBITDA Yield (%),FCF Yield (%),D/E Ratio,Market Cap (B$),Fiabilite,detection_time
EXK,ACHAT,10.4,9.789999961853027,Hausse,61.37,Basic Materials,Mid,Basic Materials_Mid,14014476.67,Achat,1.22222,1.16,3.45,1.3,-4.83,167.3,1.97,-2.48,31.74,2.8,33.33333333333333,2025-12-25 18:03:24
EZPW,ACHAT,7.9,20.239999771118164,Hausse,58.92,Financial Services,Small,Financial Services_Small,1185746.67,Neutre,,-0.23,-17.64,-1.83,-7.66,14.3,15.61,1.85,74.62,1.17,100.0,2025-12-25 18:03:24
ENGI.PA,ACHAT,7.42,22.15999984741211,Hausse,63.17,Utilities,Large,Utilities_Large,4029237.43,Achat,1.55556,0.35,3.65,1.11,-48.76,1.4,27.47,-14.03,137.52,54.18,40.0,2025-12-25 18:03:24
FAST,ACHAT,4.76,41.83000183105469,Hausse,51.53,Industrials,Large,Industrials_Large,7310720.0,Neutre,2.84211,-0.25,9.79,-1.7,-76.85,11.7,3.69,1.57,13.28,48.62,57.14285714285714,2025-12-25 18:03:24
GFI,ACHAT,9.81,46.0099983215332,Hausse,60.02,Basic Materials,Large,Basic Materials_Large,3165240.0,Achat,2.25,0.9,5.12,1.19,-17.89,63.7,8.84,3.75,40.88,40.64,100.0,2025-12-25 18:03:24
EXEL,ACHAT,8.73,46.5099983215332,Hausse,67.44,Healthcare,Large,Healthcare_Large,2656393.33,Achat,2.0,1.93,13.42,5.01,-4.4,10.8,7.13,4.54,8.17,11.93,100.0,2025-12-25 18:03:24
FITB,ACHAT,4.13,48.220001220703125,Hausse,71.28,Financial Services,Unknown,Financial Services,6407833.33,Achat,1.81818,0.17,-0.39,0.07,-19.34,6.7,0.0,0.0,0.0,31.88,33.33333333333333,2025-12-25 18:03:24
DOCN,ACHAT,9.73,49.16999816894531,Hausse,58.97,Technology,Mid,Technology_Mid,1686253.33,Achat,1.92857,1.54,-2.76,3.06,-36.36,15.7,6.19,4.23,0.0,4.35,50.0,2025-12-25 18:03:24
FORM,ACHAT,8.44,58.16999816894531,Hausse,61.0,Technology,Mid,Technology_Mid,818426.67,Achat,2.0,0.79,-5.8,1.25,-81.84,-2.5,1.77,-0.66,3.29,4.42,50.0,2025-12-25 18:03:24
EIX,ACHAT,8.21,60.099998474121094,Hausse,59.11,Utilities,Large,Utilities_Large,3122513.33,Achat,2.05882,0.38,11.4,0.98,-9.38,10.6,11.01,-5.1,204.02,23.13,40.0,2025-12-25 18:03:24
FOX,ACHAT,9.06,64.94000244140625,Hausse,74.68,Communication Services,Unknown,Communication Services,1501366.67,Neutre,,0.48,0.91,1.03,5.0,4.9,11.1,6.91,60.14,30.58,100.0,2025-12-25 18:03:24
ES,ACHAT,6.21,67.16000366210938,Hausse,48.16,Utilities,Large,Utilities_Large,2858576.67,Achat,2.5,-0.2,-9.75,-0.88,-12.6,5.1,8.35,0.41,184.36,25.2,30.76923076923077,2025-12-25 18:03:24
DOCU,ACHAT,8.95,69.63999938964844,Hausse,51.33,Technology,Large,Technology_Large,2925530.0,Neutre,2.52174,0.44,22.55,1.34,-14.58,8.4,2.27,8.38,7.59,14.02,50.0,2025-12-25 18:03:24
FOXA,ACHAT,9.06,73.91000366210938,Hausse,76.23,Communication Services,Unknown,Communication Services,3405796.67,Achat,2.10526,0.7,1.33,1.38,-1.19,4.9,9.87,6.44,60.14,32.81,100.0,2025-12-25 18:03:24
GM,ACHAT,3.31,82.87999725341797,Hausse,75.98,Consumer Cyclical,Large,Consumer Cyclical_Large,9701010.0,Achat,2.03846,0.29,-0.43,-0.56,-49.26,-0.3,20.03,2.26,195.44,78.4,80.0,2025-12-25 18:03:24
EW,ACHAT,6.11,86.29000091552734,Hausse,57.88,Healthcare,Unknown,Healthcare,3446780.0,Achat,1.93939,0.43,7.34,1.78,-75.05,14.7,3.81,1.04,6.86,50.66,100.0,2025-12-25 18:03:24
ED,ACHAT,5.51,99.52999877929688,Hausse,53.97,Utilities,Large,Utilities_Large,2362743.33,Neutre,3.23529,-0.07,61.57,-0.72,-40.16,10.7,9.53,-0.24,110.37,35.92,44.44444444444444,2025-12-25 18:03:24
DLTR,ACHAT,8.2,122.01000213623047,Hausse,57.42,Consumer Defensive,Unknown,Consumer Defensive,3504726.67,Neutre,2.62963,-1.35,-7.65,-5.66,-2.1,9.4,6.83,6.65,221.06,24.89,100.0,2025-12-25 18:03:24
GILD,ACHAT,6.24,125.66999816894531,Hausse,58.41,Healthcare,Mega,Healthcare_Mega,7426596.67,Achat,1.72414,0.8,26.09,3.47,-23.67,3.0,9.17,5.21,116.24,154.22,100.0,2025-12-25 18:03:24
EMR,ACHAT,6.65,136.3000030517578,Hausse,55.54,Industrials,Large,Industrials_Large,2349846.67,Achat,1.82759,0.1,-18.47,0.44,-19.97,5.1,6.74,3.67,67.78,74.77,62.5,2025-12-25 18:03:24
GL,ACHAT,3.95,143.5,Hausse,68.46,Financial Services,Unknown,Financial Services,507880.0,Achat,1.7,0.34,6.75,0.63,-10.99,4.0,11.42,11.98,55.22,11.62,50.0,2025-12-25 18:03:24
EXPD,ACHAT,5.35,151.55999755859375,Hausse,64.42,Industrials,Unknown,Industrials,1396546.67,Vente,3.52941,0.16,-4.89,-0.23,-14.93,-3.5,5.9,3.61,24.55,20.57,53.333333333333336,2025-12-25 18:03:24
DOV,ACHAT,3.74,199.55999755859375,Hausse,66.84,Industrials,Unknown,Industrials,1077006.67,Achat,1.95,0.09,-2.78,-0.4,-36.83,4.8,6.11,4.41,40.08,27.37,37.5,2025-12-25 18:03:24
FNV,ACHAT,8.18,215.82000732421875,Hausse,62.76,Basic Materials,Large,Basic Materials_Large,666456.67,Achat,1.9375,0.45,1.09,1.29,-22.2,77.3,3.39,-2.82,0.0,41.01,100.0,2025-12-25 18:03:24
EFX,ACHAT,5.95,220.55999755859375,Hausse,56.54,Industrials,Large,Industrials_Large,1468950.0,Achat,1.95833,0.21,11.25,0.92,-63.99,7.2,5.85,3.35,94.82,27.17,71.42857142857143,2025-12-25 18:03:24
DHR,ACHAT,6.24,231.47000122070312,Hausse,59.48,Healthcare,Mega,Healthcare_Mega,3681686.67,Achat,1.4,0.35,-6.22,1.39,-58.52,4.4,4.74,2.49,35.54,161.0,100.0,2025-12-25 18:03:24
FSLR,ACHAT,4.35,272.2099914550781,Hausse,56.03,Technology,Large,Technology_Large,1935690.0,Achat,1.63889,1.16,9.78,2.19,17.95,79.7,7.05,0.59,9.89,28.65,66.66666666666666,2025-12-25 18:03:24
FDX,ACHAT,4.44,295.8999938964844,Hausse,77.27,Industrials,Unknown,Industrials,1681270.0,Achat,2.0,0.8,2.58,1.99,-8.98,13.9,16.29,6.65,0.0,69.82,46.666666666666664,2025-12-25 18:03:24
GOOG,ACHAT,9.06,315.6700134277344,Hausse,59.62,Communication Services,Unknown,Communication Services,26524843.33,Achat,1.46269,0.49,-12.11,1.23,-32.73,15.9,3.87,1.26,11.42,3810.72,100.0,2025-12-25 18:03:24
GD,ACHAT,7.65,345.3900146484375,Hausse,55.95,Industrials,Large,Industrials_Large,1166133.33,Achat,2.17391,0.32,27.3,2.01,-14.5,10.6,6.81,3.83,40.42,91.67,55.55555555555556,2025-12-25 18:03:24
EME,ACHAT,5.95,626.0700073242188,Hausse,49.96,Industrials,Large,Industrials_Large,398150.0,Achat,1.66667,0.18,-1.63,1.07,-29.55,16.4,6.15,3.07,12.91,28.03,57.14285714285714,2025-12-25 18:03:24
GEV,ACHAT,4.7,667.3200073242188,Hausse,56.53,Industrials,Unknown,Industrials,3636833.33,Achat,1.78125,-0.11,-7.04,-0.84,-39.62,11.8,1.67,1.33,11.1,181.66,33.33333333333333,2025-12-25 18:03:24
FDUS,ACHAT,6.54,19.030000686645508,Baisse,44.42,Financial Services,Small,Financial Services_Small,331120.0,Neutre,,-0.4,18.09,-3.06,-5.0,-2.9,0.0,6.58,75.04,0.69,33.33333333333333,2025-12-25 18:03:24
EXC,ACHAT,5.688,43.52000045776367,Baisse,41.2,Utilities,Unknown,Utilities,7869950.0,Achat,2.42105,-0.18,-4.16,-0.87,-13.16,9.0,8.69,-3.73,177.6,43.95,50.0,2025-12-25 18:03:24
FE,ACHAT,6.811,44.849998474121094,Baisse,46.95,Utilities,Unknown,Utilities,4830743.33,Achat,2.3125,0.11,-2.84,1.83,-23.59,11.2,8.5,-7.19,193.67,25.91,100.0,2025-12-25 18:03:24
EVRG,ACHAT,7.06,73.01000213623047,Baisse,41.76,Utilities,Unknown,Utilities,1912600.0,Achat,1.92308,-0.25,2.83,-1.52,-17.72,-0.1,8.59,-2.84,142.45,16.81,50.0,2025-12-25 18:03:24
ETR,ACHAT,6.101,92.66999816894531,Baisse,46.2,Utilities,Unknown,Utilities,2726610.0,Achat,1.77273,-0.13,5.41,-0.27,-16.96,12.5,8.02,-7.87,179.36,41.39,75.0,2025-12-25 18:03:24
