Symbole,Signal,Score,Prix,Tendance,RSI,Domaine,CapRange,ParamKey,Volume moyen,Consensus,ConsensusMean,dPrice,dMACD,dRSI,dVolRel,Rev. Growth (%),EBITDA Yield (%),FCF Yield (%),D/E Ratio,Market Cap (B$),Fiabilite,detection_time
DNLI,ACHAT,3.284,21.43000030517578,Hausse,59.51,Healthcare,Mid,Healthcare_Mid,1723312.57,Achat,1.15789,1.66,-4.81,2.99,-0.7,0.0,-24.03,-7.46,4.8,3.35,100.0,2026-02-25 04:03:12
DVN,ACHAT,3.175,43.279998779296875,Hausse,60.24,Energy,Large,Energy_Large,11644583.33,Achat,1.65385,-0.23,-3.51,-2.05,-0.09,-12.1,21.9,7.91,55.95,26.85,71.42857142857143,2026-02-25 04:03:12
ZL=F,ACHAT,7.039,60.90999984741211,Hausse,76.77,Unknown,Unknown,Unknown,88282.13,Neutre,,0.8,2.78,0.65,-441.92,0.0,0.0,0.0,0.0,0.0,66.66666666666666,2026-02-25 04:03:12
FLEX,ACHAT,8.34,64.91999816894531,Hausse,51.76,Technology,Large,Technology_Large,3959275.87,Neutre,,0.27,14.44,0.42,-5.96,7.7,7.66,3.89,97.99,24.01,75.0,2026-02-25 04:03:12
MAS,ACHAT,4.22,73.87999725341797,Hausse,57.41,Industrials,Large,Industrials_Large,2786696.67,Achat,2.47826,-0.6,-2.78,-2.76,-7.96,-1.9,7.91,4.41,4230.26,15.04,33.33333333333333,2026-02-25 04:03:12
FNV,ACHAT,3.284,273.32000732421875,Hausse,64.27,Basic Materials,Large,Basic Materials_Large,945504.17,Achat,2.0625,1.58,5.68,2.61,-3.55,77.3,2.65,-2.19,0.0,52.9,75.0,2026-02-25 04:03:12
GE,ACHAT,2.641,345.6400146484375,Hausse,66.97,Industrials,Mega,Industrials_Mega,6037463.33,Achat,1.47368,1.38,12.84,3.19,0.25,17.6,2.87,1.43,114.07,364.59,83.33333333333334,2026-02-25 04:03:12
LHX,ACHAT,7.477,354.2699890136719,Hausse,59.83,Industrials,Large,Industrials_Large,1533033.33,Achat,1.66667,0.62,1.48,1.58,-7.64,2.3,5.25,4.11,60.61,66.27,100.0,2026-02-25 04:03:12
BA.L,ACHAT,7.477,2141.0,Hausse,66.32,Industrials,Large,Industrials_Large,6915135.37,Achat,2.21053,1.23,14.32,2.48,4.31,6.7,5.66,2.92,75.82,62.42,66.66666666666666,2026-02-25 04:03:12
RMAX,ACHAT,2.54,6.429999828338623,Baisse,31.97,Real Estate,Small,Real Estate_Small,203613.33,Neutre,3.25,-1.06,5.58,-2.05,3.61,-1.8,22.17,9.73,0.0,0.34,40.0,2026-02-25 04:03:12
AIZ,ACHAT,3.6,222.85000610351562,Baisse,43.75,Financial Services,Large,Financial Services_Large,444093.33,Achat,1.57143,0.46,4.76,4.05,-12.64,7.9,13.24,19.45,38.84,11.24,75.0,2026-02-25 04:03:12
PHIA.AS,VENTE,-3.65,26.600000381469727,Hausse,60.21,Healthcare,Large,Healthcare_Large,1632461.0,Achat,2.35,0.25,0.37,0.23,1.1,1.1,6.58,1.79,73.57,25.3,100.0,2026-02-25 04:03:12
