Symbole,Signal,Score,Prix,Tendance,RSI,Domaine,CapRange,ParamKey,Volume moyen,Consensus,ConsensusMean,dPrice,dMACD,dRSI,dVolRel,Rev. Growth (%),EBITDA Yield (%),FCF Yield (%),D/E Ratio,Market Cap (B$),Fiabilite,detection_time
ALAB,ACHAT,3.998,164.39999389648438,Hausse,52.46,Technology,Large,Technology_Large,5952430.0,Achat,1.72727,0.11,27.22,0.5,0.0,103.9,0.45,0.47,2.46,24.64,75.0,2025-12-22 12:31:26
AIR.PA,ACHAT,7.24,196.0,Baisse,46.3,Industrials,Mega,Industrials_Mega,1041818.23,Achat,1.85,0.12,-2.13,1.84,-26.76,13.6,5.02,0.0,57.06,154.59,100.0,2025-12-22 12:31:26
ALV.DE,ACHAT,6.9,388.5,Hausse,67.95,Financial Services,Mega,Financial Services_Mega,415981.97,Achat,2.5,0.26,3.21,0.76,-8.72,5.8,12.12,0.0,0.0,149.86,50.0,2025-12-22 12:31:26
AMC,VENTE,-5.64,1.75,Baisse,25.71,Communication Services,Small,Communication Services_Small,17638380.0,Neutre,,-3.67,8.99,-7.59,0.0,-3.6,41.56,0.0,0.0,0.9,60.0,2025-12-22 12:31:26
ASML.AS,ACHAT,4.65,907.0,Baisse,50.45,Technology,Mega,Technology_Mega,585317.03,Achat,1.7027,-0.66,-99.15,-2.63,25.21,0.7,3.53,2.71,14.24,344.36,75.0,2025-12-22 12:31:26
AOS,ACHAT,2.49,68.01000213623047,Hausse,54.25,Industrials,Mid,Industrials,1292016.67,Neutre,2.53846,-0.16,3.84,-1.23,0.0,4.4,8.23,4.76,12.06,9.53,47.05882352941176,2025-12-22 12:31:26
ATRO,ACHAT,3.79,54.790000915527344,Hausse,59.05,Industrials,Small,Industrials,616280.0,Achat,1.6,-0.02,-6.4,-0.69,0.0,3.8,3.77,1.62,348.36,1.95,57.14285714285714,2025-12-22 12:31:26
AZN.L,ACHAT,4.2,13616.0,Hausse,55.71,Healthcare,Mega,Healthcare_Mega,2300285.23,Achat,1.47619,0.1,-13.91,0.29,379.35,12.0,9.63,4.71,71.05,211.95,66.66666666666666,2025-12-22 12:31:26
BMRN,ACHAT,9.65,61.150001525878906,Hausse,70.43,Healthcare,Mid,Healthcare_Mid,3267520.0,Achat,1.75,0.82,-11.92,1.99,7.18,4.1,7.96,4.52,9.98,9.98,100.0,2025-12-22 12:31:26
CACI,ACHAT,11.45,556.6099853515625,Baisse,40.79,Technology,Large,Technology_Large,246383.33,Achat,1.5,-1.09,32.97,-5.43,8.53,11.2,8.39,3.06,79.59,12.12,100.0,2025-12-22 12:31:26
BAYN.DE,ACHAT,5.43,35.6349983215332,Hausse,67.15,Healthcare,Large,Healthcare_Large,3397417.83,Achat,2.31579,-0.36,-4.22,-2.02,-61.16,-3.1,22.93,14.67,133.46,35.25,50.0,2025-12-22 12:31:26
BFLY,ACHAT,4.18,3.559999942779541,Hausse,64.67,Healthcare,Small,Healthcare_Small,5979710.0,Neutre,,2.22,2.85,1.54,0.0,4.5,0.0,0.4,10.32,0.9,57.14285714285714,2025-12-22 12:31:26
BIIB,ACHAT,9.33,174.8000030517578,Hausse,55.63,Healthcare,Large,Healthcare_Large,2358996.67,Achat,2.2,0.02,-24.47,-0.37,0.0,2.8,13.29,8.34,36.19,25.64,100.0,2025-12-22 12:31:26
BIDU,ACHAT,4.76,123.81999969482422,Hausse,52.59,Communication Services,Large,Communication Services_Large,2965813.33,Achat,1.60606,-0.31,-34.37,-0.64,0.0,-7.1,66.77,50.39,33.81,43.16,44.44444444444444,2025-12-22 12:31:26
BMW.DE,ACHAT,7.7,93.36000061035156,Hausse,58.7,Consumer Cyclical,Large,Consumer Cyclical_Large,778673.27,Achat,2.14286,-0.42,-7.28,-2.79,72.49,-0.3,27.05,60.82,112.75,57.07,100.0,2025-12-22 12:31:26
BNP.PA,ACHAT,7.85,80.27999877929688,Hausse,70.09,Financial Services,Large,Financial Services_Large,2879764.03,Achat,1.88235,0.42,2.73,0.58,-16.38,4.9,0.0,0.0,0.0,90.1,50.0,2025-12-22 12:31:26
BOE,ACHAT,3.95,11.729999542236328,Hausse,58.82,Financial Services,Small,Financial Services,167333.33,Neutre,,-0.03,-10.03,-0.71,0.0,-21.1,0.0,1.68,0.0,0.67,100.0,2025-12-22 12:31:26
BURL,ACHAT,5.97,278.760009765625,Hausse,55.45,Consumer Cyclical,Large,Consumer Cyclical_Large,1157040.0,Achat,1.55556,0.6,38.6,1.47,0.0,7.1,6.53,0.0,389.52,17.54,100.0,2025-12-22 12:31:26
