Symbole,Signal,Score,Prix,Tendance,RSI,Domaine,CapRange,ParamKey,Volume moyen,Consensus,ConsensusMean,dPrice,dMACD,dRSI,dVolRel,Rev. Growth (%),EBITDA Yield (%),FCF Yield (%),D/E Ratio,Market Cap (B$),Fiabilite,detection_time
OXSQ,ACHAT,4.4,1.7799999713897705,Hausse,49.68,Financial Services,Unknown,Financial Services,934600.0,Neutre,,0.34,-62.4,1.97,-0.19,-1.0,0.0,-4.88,95.24,0.15,60.0,2026-01-10 22:05:12
HRZN,ACHAT,3.5,6.690000057220459,Hausse,60.54,Financial Services,Unknown,Financial Services,687060.0,Neutre,,0.52,20.53,1.83,-1.05,7.1,0.0,12.2,134.31,0.3,33.33333333333333,2026-01-10 22:05:12
SOUN,ACHAT,6.35,11.75,Hausse,50.73,Technology,Mid,Technology_Mid,22446636.67,Achat,1.44444,1.91,-16.49,4.85,3.86,67.6,-3.24,-0.66,1.21,4.94,100.0,2026-01-10 22:05:12
TRIN,ACHAT,4.4,15.8100004196167,Hausse,71.68,Financial Services,Unknown,Financial Services,1055663.33,Achat,1.7,1.19,11.52,4.05,-13.35,22.6,0.0,8.92,118.2,1.2,66.66666666666666,2026-01-10 22:05:12
NVST,ACHAT,7.78,23.6299991607666,Hausse,69.19,Healthcare,Mid,Healthcare_Mid,2128390.0,Neutre,2.53333,1.31,4.96,3.01,7.28,11.5,8.09,7.74,51.88,3.93,100.0,2026-01-10 22:05:12
APLD,ACHAT,9.6,37.68000030517578,Hausse,67.61,Technology,Large,Technology_Large,30585473.33,Achat,1.2,4.32,23.14,4.27,10.44,250.1,0.18,-15.25,125.91,10.53,100.0,2026-01-10 22:05:12
ON,ACHAT,9.55,62.15999984741211,Hausse,69.08,Technology,Large,Technology_Large,9265620.0,Achat,2.29412,2.06,9.44,3.63,13.06,-12.0,7.23,5.02,45.83,25.42,100.0,2026-01-10 22:05:12
SMTC,ACHAT,9.1,77.79000091552734,Hausse,56.11,Technology,Mid,Technology_Mid,1431106.67,Neutre,,0.25,-2.99,0.08,8.36,12.7,2.26,1.81,91.19,6.96,100.0,2026-01-10 22:05:12
CRWV,ACHAT,5.475,80.13999938964844,Hausse,48.74,Technology,Large,Technology_Large,26935100.0,Achat,2.06667,0.98,-13.82,1.72,2.44,133.7,3.85,-17.41,485.03,39.94,50.0,2026-01-10 22:05:12
CVX,ACHAT,10.2,162.11000061035156,Hausse,62.85,Energy,Mega,Energy_Mega,9781763.33,Achat,2.07692,0.69,15.41,0.96,9.22,-1.4,10.66,5.01,21.24,314.11,66.66666666666666,2026-01-10 22:05:12
ANET,ACHAT,8.1,122.88999938964844,Baisse,40.64,Technology,Large,Technology_Large,6120130.0,Neutre,,-1.15,6.97,-4.07,8.85,27.5,2.32,1.94,0.0,168.24,100.0,2026-01-10 22:05:12
TRMD,VENTE,-2.8,22.469999313354492,Hausse,65.32,Energy,Mid,Energy_Mid,493913.33,Neutre,,2.34,46.18,7.71,9.76,-7.9,18.15,4.79,41.78,2.32,55.55555555555556,2026-01-10 22:05:12
MO,VENTE,-4.38,57.529998779296875,Hausse,50.8,Consumer Defensive,Large,Consumer Defensive_Large,9275876.67,Achat,2.46667,-0.4,16.02,-1.67,6.05,-1.7,10.61,7.67,0.0,96.64,100.0,2026-01-10 22:05:12
NVS,VENTE,-2.455,141.5399932861328,Hausse,67.89,Healthcare,Mega,Healthcare_Mega,1547683.33,Neutre,3.09091,0.44,1.24,0.91,12.58,9.0,8.47,5.89,71.55,271.59,100.0,2026-01-10 22:05:12
