Symbole,Signal,Score,Prix,Tendance,RSI,Domaine,CapRange,ParamKey,Volume moyen,Consensus,ConsensusMean,dPrice,dMACD,dRSI,dVolRel,Rev. Growth (%),EBITDA Yield (%),FCF Yield (%),D/E Ratio,Market Cap (B$),Fiabilite,detection_time
DEZ.DE,ACHAT,6.861,9.289999961853027,Hausse,72.74,Industrials,Small,Industrials_Small,300140.5,Neutre,,1.6,8.96,4.4,0.0,14.6,5.56,5.06,35.5,1.29,75.0,2026-01-07 03:04:25
DVAX,ACHAT,3.424,15.430000305175781,Hausse,87.23,Healthcare,Small,Healthcare_Small,3375078.27,Neutre,3.0,0.06,4.16,0.02,0.0,17.7,1.67,2.83,54.15,1.81,100.0,2026-01-07 03:04:25
DBK.DE,ACHAT,8.434,33.40999984741211,Hausse,60.67,Financial Services,Large,Financial Services_Large,2729692.57,Neutre,,0.24,-0.44,0.16,0.0,8.9,0.0,0.0,0.0,65.33,100.0,2026-01-07 03:04:25
CBK.DE,ACHAT,7.342,35.9900016784668,Hausse,60.88,Financial Services,Large,Financial Services_Large,1625326.4,Neutre,,0.18,-0.19,-0.07,0.0,9.6,0.0,0.0,0.0,40.58,75.0,2026-01-07 03:04:25
DB,ACHAT,4.673,38.939998626708984,Hausse,57.32,Financial Services,Large,Financial Services_Large,1930745.6,Neutre,,0.01,-4.11,-1.1,0.0,8.9,0.0,0.0,0.0,75.19,80.0,2026-01-07 03:04:25
CS.PA,ACHAT,12.164,40.540000915527344,Hausse,55.61,Financial Services,Large,Financial Services_Large,2668768.3,Neutre,,-0.2,-9.43,-3.09,0.0,4.4,0.0,9.3,116.6,86.61,50.0,2026-01-07 03:04:25
EUNL.DE,ACHAT,3.554,113.11499786376953,Hausse,64.51,ℹ️Inconnu!!,Unknown,ℹ️Inconnu!!,300705.13,Neutre,,0.23,7.7,2.05,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666666,2026-01-07 03:04:25
ANET,ACHAT,5.47,132.5800018310547,Hausse,51.17,Technology,Large,Technology_Large,5270520.2,Neutre,,0.13,24.37,0.09,0.0,27.5,2.32,1.94,0.0,168.24,100.0,2026-01-07 03:04:25
URTH,ACHAT,3.554,188.97999572753906,Hausse,63.27,ℹ️Inconnu!!,Small,ℹ️Inconnu!!,404926.13,Neutre,,0.13,-0.7,0.59,0.0,0.0,0.0,0.0,0.0,1.3,100.0,2026-01-07 03:04:25
COHR,ACHAT,8.77,194.11000061035156,Hausse,61.47,Technology,Large,Technology_Large,3665296.87,Neutre,,0.31,-5.2,-0.62,0.0,17.3,3.34,1.1,40.36,30.51,100.0,2026-01-07 03:04:25
HEI.DE,ACHAT,7.96,223.0,Hausse,59.81,Basic Materials,Large,Basic Materials_Large,170751.37,Neutre,,0.05,-5.19,0.02,0.0,4.0,8.67,3.44,47.62,39.79,100.0,2026-01-07 03:04:25
FSLR,ACHAT,6.97,268.7799987792969,Hausse,53.15,Technology,Large,Technology_Large,1635816.9,Achat,1.63889,0.14,-5.41,0.09,0.0,79.7,7.2,0.59,9.89,28.84,100.0,2026-01-07 03:04:25
ALV.DE,ACHAT,8.699,391.29998779296875,Hausse,64.83,Financial Services,Large,Financial Services_Large,336582.17,Neutre,,0.06,-4.3,-0.97,0.0,5.8,15.28,0.0,0.0,149.48,66.66666666666666,2026-01-07 03:04:25
STAN.L,ACHAT,5.987,1847.0989990234375,Hausse,75.68,Financial Services,Large,Financial Services_Large,4333009.63,Neutre,,0.39,-0.42,0.4,0.0,0.8,0.0,0.0,0.0,41.77,66.66666666666666,2026-01-07 03:04:25
^SSMI,ACHAT,3.954,13322.150390625,Hausse,74.91,ℹ️Inconnu!!,Unknown,ℹ️Inconnu!!,17732613.33,Neutre,,0.08,-2.14,0.22,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2026-01-07 03:04:25
^GDAXI,ACHAT,3.954,24892.19921875,Hausse,70.0,ℹ️Inconnu!!,Unknown,ℹ️Inconnu!!,38780503.33,Neutre,,0.37,6.02,2.78,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2026-01-07 03:04:25
^N225,ACHAT,3.122,52312.51953125,Hausse,64.85,ℹ️Inconnu!!,Unknown,ℹ️Inconnu!!,98006666.67,Neutre,,0.5,8.42,2.41,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2026-01-07 03:04:25
