type,ticker,titre,sentiment,intensite,horizon,resume,score_fondamental,catalyseur,lien,date
ALERT_PORTFOLIO,MRVL,"Poet Technologies’ stock craters nearly 50% in record drop, as Marvell relationship sours",negatif,fort,intraday,"La chute de la valeur des actions de Poet Technologies est principalement due à la perte de leur partenaire technologique majeur, Marvell, qui annonce mettre fin à leur relation d'affaires.",,M&A,https://www.marketwatch.com/story/poet-technologies-stock-craters-nearly-50-in-record-drop-as-marvell-relationship-sours-1e37d970?mod=mw_rss_topstories,2026-04-27 18:48:40
ALERT_PORTFOLIO,MU,"Stocks making the biggest moves midday: Sandisk, Micron, Verizon, AMD, GE Vernova and more",positif,fort,intraday,La hausse de la valeur de MU pourrait être due à des nouvelles performances financières encourageantes.,,earnings,https://www.cnbc.com/2026/04/27/stocks-making-the-biggest-moves-midday-sndk-mu-vz-amd-gev.html,2026-04-27 18:48:42
ALERT_PORTFOLIO,GS,GPIQ Vs. FEPI: Downgrading Rex Shares In Favor Of Goldman Sachs,positif,modere,intraday,"Le titre de la compagnie financière Goldman Sachs (GS) montre une hausse significative sur les 5 derniers jours, possiblement influencée par une dégradation des parts de Rex, qui pourrait indiquer une prise de position favorable envers Goldman Sachs.",,M&A,https://seekingalpha.com/article/4894694-gpiq-vs-fepi-downgrading-rex-shares-in-favor-of-goldman-sachs?source=feed_all_articles,2026-04-27 18:48:43
ALERT_PORTFOLIO,AGEN,Agenus to Present First Phase 2 Botensilimab Data in Advanced Cutaneous Melanoma at ASCO 2026,positif,modere,1-2sem,"Agenus annonce des données de botensilimab pour le traitement du melanome cutané avancé, présentées à l'ASCO 2026, indiquant une progression dans le développement de produits immuno-oncologiques.",,produit,https://finance.yahoo.com/sectors/healthcare/articles/agenus-present-first-phase-2-140000767.html?.tsrc=rss,2026-04-27 18:48:44
ALERT_PORTFOLIO,AGEN,Agenus Names BAP Pharma as Exclusive Global Partner for BOT+BAL Access Programs,positif,modere,1-2sem,Agenus et BAP Pharma annoncent une collaboration exclusive pour accéder aux programmes de botensilimab (BOT) plus balstilimab (BAL) à l'échelle mondiale.,,M&A,https://finance.yahoo.com/sectors/healthcare/articles/agenus-names-bap-pharma-exclusive-120000311.html?.tsrc=rss,2026-04-27 18:48:45
ALERT_PORTFOLIO,AGEN,Is Agenus (AGEN) Outperforming Other Medical Stocks This Year?,positif,fort,intraday,"Le titre Agenus (AGEN) a connu une hausse significative de 5.4% sur la semaine écoulée, dépassant le secteur medical.",,produit,https://finance.yahoo.com/markets/stocks/articles/agenus-agen-outperforming-other-medical-134002430.html?.tsrc=rss,2026-04-27 18:48:47
ALERT_PORTFOLIO,MRVL|NVDA,Jim Cramer Notes Stocks Like Marvell Are “All on Fire”,positif,fort,intraday,Les actions de Marvell Technology et NVIDIA sont sur un tir montant suite à une recommandation positive de Jim Cramer.,,produit,https://finance.yahoo.com/markets/stocks/articles/jim-cramer-notes-stocks-marvell-032636814.html?.tsrc=rss,2026-04-27 18:48:48
ALERT_PORTFOLIO,ALDX,Aldeyra Therapeutics And 2 More Promising Penny Stocks For Your Watchlist,negatif,modere,1-3mois,"Le titre indique une baisse significative du cours de laction ALDX sur les cinq derniers jours, reflétant une perte de confiance du marché.",,earnings,https://finance.yahoo.com/markets/stocks/articles/aldeyra-therapeutics-2-more-promising-180528519.html?.tsrc=rss,2026-04-27 18:48:49
ALERT_PORTFOLIO,ALDX,ALDX Crashes 71% as FDA Issues Third CRL for Dry Eye Disease Drug NDA,negatif,fort,intraday,La baisse significative du cours de la société Aldeyra Therapeutics suite à la troisième annulation de la demande de réinspection de leur NDA pour le traitement de la maladie de la sècheresse oculaire indique une mauvaise performance et une incertitude quant à l'avenir de la clinique.,,réglementaire,https://finance.yahoo.com/news/aldx-crashes-71-fda-issues-151000954.html?.tsrc=rss,2026-04-27 18:48:51
ALERT_PORTFOLIO,AVGO,"Broadcom Stock Price Prediction After 32% Monthly Surge: $475 Target, $558 Bull Case",positif,fort,1-2sem,La hausse de 32% du prix de l'action de Broadcom sur un seul mois indique une forte croissance et une augmentation de la confiance en la compagnie.,,produit,https://247wallst.com/investing/2026/04/27/broadcom-stock-price-prediction-after-32-monthly-surge-475-target-558-bull-case/?.tsrc=rss,2026-04-27 18:48:52
