type,ticker,titre,sentiment,intensite,horizon,resume,score_fondamental,catalyseur,lien,date
ALERT_PORTFOLIO,MRVL,"Poet Technologies’ stock craters nearly 50% in record drop, as Marvell relationship sours",negatif,fort,intraday,Le départ de Marvell Technologies de la collaboration clé avec Poet Technologies a causé une chute importante du cours des actions de cette dernière.,,M&A,https://www.marketwatch.com/story/poet-technologies-stock-craters-nearly-50-in-record-drop-as-marvell-relationship-sours-1e37d970?mod=mw_rss_topstories,2026-04-27 18:56:40
ALERT_PORTFOLIO,MU,"Stocks making the biggest moves midday: Sandisk, Micron, Verizon, AMD, GE Vernova and more",positif,fort,intraday,La hausse de Micron Technology (MU) s'explique par des nouvelles bénéfiques provenant de leurs récents résultats trimestriels.,,earnings,https://www.cnbc.com/2026/04/27/stocks-making-the-biggest-moves-midday-sndk-mu-vz-amd-gev.html,2026-04-27 18:56:42
ALERT_PORTFOLIO,GS,GPIQ Vs. FEPI: Downgrading Rex Shares In Favor Of Goldman Sachs,positif,modere,intraday,Le titre de Goldman Sachs (GS) montre une hausse significative après une comparaison favorable avec GPIQ et FEPI.,,M&A,https://seekingalpha.com/article/4894694-gpiq-vs-fepi-downgrading-rex-shares-in-favor-of-goldman-sachs?source=feed_all_articles,2026-04-27 18:56:43
ALERT_PORTFOLIO,AGEN,Agenus to Present First Phase 2 Botensilimab Data in Advanced Cutaneous Melanoma at ASCO 2026,positif,modere,1-2sem,"Agenus annonce des données de botensilimab pour le traitement du melanome cutané avancé, présentées à l'ASCO 2026.",,produit,https://finance.yahoo.com/sectors/healthcare/articles/agenus-present-first-phase-2-140000767.html?.tsrc=rss,2026-04-27 18:56:44
ALERT_PORTFOLIO,AGEN,Agenus Names BAP Pharma as Exclusive Global Partner for BOT+BAL Access Programs,positif,modere,1-3mois,Agenus et BAP Pharma annoncent une collaboration exclusive pour accéder aux programmes de botensilimab (BOT) plus balstilimab (BAL) à l'échelle mondiale.,,M&A,https://finance.yahoo.com/sectors/healthcare/articles/agenus-names-bap-pharma-exclusive-120000311.html?.tsrc=rss,2026-04-27 18:56:45
ALERT_PORTFOLIO,AGEN,Is Agenus (AGEN) Outperforming Other Medical Stocks This Year?,positif,fort,1-3mois,"Agenus (AGEN) a connu une hausse significative de 5.1% sur les cinq derniers jours, dépassant le secteur de la santé.",,produit,https://finance.yahoo.com/markets/stocks/articles/agenus-agen-outperforming-other-medical-134002430.html?.tsrc=rss,2026-04-27 18:56:47
ALERT_PORTFOLIO,ALAB,RBC Capital Raises Astera Labs (ALAB) Price Target Amid Expected Boost from Amazon Trainium3 AI Chips,positif,fort,intraday,Le titre ALAB est sur le point de connaître une hausse significative possiblement liée à l'expansion de la collaboration entre Amazon et Anthropic.,,M&A,https://finance.yahoo.com/markets/stocks/articles/rbc-capital-raises-astera-labs-184019961.html?.tsrc=rss,2026-04-27 18:56:48
ALERT_PORTFOLIO,MRVL|NVDA,Jim Cramer Notes Stocks Like Marvell Are “All on Fire”,positif,fort,intraday,Les actions de Marvell Technology et NVIDIA sont sur un tir montant suite à l'émission de recommandations positives par Jim Cramer.,,produit,https://finance.yahoo.com/markets/stocks/articles/jim-cramer-notes-stocks-marvell-032636814.html?.tsrc=rss,2026-04-27 18:56:50
ALERT_PORTFOLIO,ALDX,Aldeyra Therapeutics And 2 More Promising Penny Stocks For Your Watchlist,negatif,modere,1-3mois,La baisse de 9.3% sur les cinq derniers jours indique une pression sur le titre ALDX.,,earnings,https://finance.yahoo.com/markets/stocks/articles/aldeyra-therapeutics-2-more-promising-180528519.html?.tsrc=rss,2026-04-27 18:56:51
ALERT_PORTFOLIO,ALDX,ALDX Crashes 71% as FDA Issues Third CRL for Dry Eye Disease Drug NDA,negatif,fort,intraday,La baisse de 71% du titre ALDX est due à une troisième annulation de la demande de réapprobation (CRL) par la FDA pour le traitement de la maladie de la sècheresse oculaire par reproxalap.,,réglementaire,https://finance.yahoo.com/news/aldx-crashes-71-fda-issues-151000954.html?.tsrc=rss,2026-04-27 18:56:53
