type,ticker,titre,sentiment,intensite,horizon,resume,score_fondamental,catalyseur,lien,date
ALERT_PORTFOLIO,MRVL,"Poet Technologies’ stock craters nearly 50% in record drop, as Marvell relationship sours",negatif,fort,intraday,"La chute de la valeur des actions de Poet Technologies est principalement due à la perte de leur partenaire technologique majeur, Marvell, qui annonce mettre fin à leur relation commerciale.",,M&A,https://www.marketwatch.com/story/poet-technologies-stock-craters-nearly-50-in-record-drop-as-marvell-relationship-sours-1e37d970?mod=mw_rss_topstories,2026-04-27 18:57:12
ALERT_PORTFOLIO,MU,"Stocks making the biggest moves midday: Sandisk, Micron, Verizon, AMD, GE Vernova and more",positif,fort,intraday,La hausse de la valeur de la société est principalement attribuée à des nouvelles performances financières qui dépassent les attentes.,,earnings,https://www.cnbc.com/2026/04/27/stocks-making-the-biggest-moves-midday-sndk-mu-vz-amd-gev.html,2026-04-27 18:57:15
ALERT_PORTFOLIO,GS,GPIQ Vs. FEPI: Downgrading Rex Shares In Favor Of Goldman Sachs,positif,modere,intraday,"Le titre de la société Goldman Sachs (GS) a connu une augmentation significative ces derniers jours suite à une décision de rétrogradation des actions Rex, préférées par le Gestionnaire de Portefeuille Investissement Qualitatif (GPIQ) en faveur de GS.",,M&A,https://seekingalpha.com/article/4894694-gpiq-vs-fepi-downgrading-rex-shares-in-favor-of-goldman-sachs?source=feed_all_articles,2026-04-27 18:57:18
ALERT_PORTFOLIO,AGEN,Agenus to Present First Phase 2 Botensilimab Data in Advanced Cutaneous Melanoma at ASCO 2026,positif,modere,1-2sem,"Agenus annonce des données de botensilimab pour le traitement du melanome cutané avancé, présentées à l'ASCO 2026, indiquant une progression dans le développement de produits immuno-oncologiques.",,produit,https://finance.yahoo.com/sectors/healthcare/articles/agenus-present-first-phase-2-140000767.html?.tsrc=rss,2026-04-27 18:57:21
ALERT_PORTFOLIO,AGEN,Agenus Names BAP Pharma as Exclusive Global Partner for BOT+BAL Access Programs,positif,modere,1-3mois,Agenus et BAP Pharma annoncent une collaboration exclusive pour accéder aux programmes de botensilimab (BOT) plus balstilimab (BAL) à l'échelle mondiale.,,M&A,https://finance.yahoo.com/sectors/healthcare/articles/agenus-names-bap-pharma-exclusive-120000311.html?.tsrc=rss,2026-04-27 18:57:24
ALERT_PORTFOLIO,AGEN,Is Agenus (AGEN) Outperforming Other Medical Stocks This Year?,positif,fort,intraday,"Le titre Agenus (AGEN) a connu une hausse significative de 5.2% sur la semaine écoulée, dépassant le secteur de la santé.",,produit,https://finance.yahoo.com/markets/stocks/articles/agenus-agen-outperforming-other-medical-134002430.html?.tsrc=rss,2026-04-27 18:57:26
ALERT_PORTFOLIO,ALAB,RBC Capital Raises Astera Labs (ALAB) Price Target Amid Expected Boost from Amazon Trainium3 AI Chips,positif,fort,intraday,Le titre indique une augmentation de la cote de prix pour Astera Labs suite à l'expansion de la collaboration avec Amazon.,,M&A,https://finance.yahoo.com/markets/stocks/articles/rbc-capital-raises-astera-labs-184019961.html?.tsrc=rss,2026-04-27 18:57:29
ALERT_PORTFOLIO,MRVL|NVDA,Jim Cramer Notes Stocks Like Marvell Are “All on Fire”,positif,fort,intraday,Les actions de Marvell Technology et NVIDIA sont sur une tendance haussière suite à une recommandation positive de Jim Cramer.,,produit,https://finance.yahoo.com/markets/stocks/articles/jim-cramer-notes-stocks-marvell-032636814.html?.tsrc=rss,2026-04-27 18:57:32
ALERT_PORTFOLIO,ALDX,Aldeyra Therapeutics And 2 More Promising Penny Stocks For Your Watchlist,negatif,modere,1-3mois,La baisse de 9.5% sur les cinq derniers jours pour Aldeyra Therapeutics indique une pression sur le titre.,,earnings,https://finance.yahoo.com/markets/stocks/articles/aldeyra-therapeutics-2-more-promising-180528519.html?.tsrc=rss,2026-04-27 18:57:38
ALERT_PORTFOLIO,ALDX,ALDX Crashes 71% as FDA Issues Third CRL for Dry Eye Disease Drug NDA,negatif,fort,intraday,La baisse significative du titre ALDX est due à la troisième annulation de la demande de réapprobation (CRL) par la FDA pour le traitement de la maladie de la sècheresse oculaire.,,réglementaire,https://finance.yahoo.com/news/aldx-crashes-71-fda-issues-151000954.html?.tsrc=rss,2026-04-27 18:57:39
ALERT_PORTFOLIO,AVGO,"Broadcom Stock Price Prediction After 32% Monthly Surge: $475 Target, $558 Bull Case",positif,fort,1-2sem,La hausse de 32% du prix de Broadcom sur un seul mois indique une forte croissance et une anticipation positive du marché.,,produit,https://247wallst.com/investing/2026/04/27/broadcom-stock-price-prediction-after-32-monthly-surge-475-target-558-bull-case/?.tsrc=rss,2026-04-27 18:57:41
ALERT_PORTFOLIO,AVGO,"Broadcom, IBD Stock Of The Day, Hovers Near Buy Zone",positif,fort,intraday,"Broadcom, un fabricant de semi-conducteurs sans échelle et fournisseur de logiciels d'infrastructure, est en train de survoler une zone d'achat après un bris de tendance positif.",,produit,https://finance.yahoo.com/m/bf33a7cb-bfec-3b22-a616-ceca549945e4/broadcom%2C-ibd-stock-of-the.html?.tsrc=rss,2026-04-27 18:57:43
ALERT_PORTFOLIO,NVDA,Will Nvidia's explosive rally end soon?,positif,fort,intraday,"La hausse de Nvidia est survenue suite à une recommandation positive de JPMorgan, un important analyste financier. Cette action pourrait être influencée par des nouvelles récentes concernant des produits en développement ou des avancées technologiques.",,produit,https://finance.yahoo.com/news/will-nvidias-explosive-rally-end-soon-133429771.html?.tsrc=rss,2026-04-27 18:57:45
