Symbole,Signal,Score,Prix,Tendance,RSI,Domaine,Volume moyen,Fiabilite,detection_time
AMD,ACHAT,6.0,156.99000549316406,Hausse,71.91,Technology,53842480.0,100.0,2025-07-21 01:25:54
AXSM,ACHAT,6.0,111.6999969482422,Hausse,60.8,Healthcare,386440.0,75.0,2025-07-21 01:25:54
BABA,ACHAT,6.7,120.2300033569336,Hausse,58.16,Consumer Cyclical,13856800.0,60.0,2025-07-21 01:25:54
CACI,ACHAT,6.2,482.9200134277344,Hausse,56.26,Technology,151776.67,66.66666666666666,2025-07-21 01:25:54
DDOG,ACHAT,7.699999999999999,145.02000427246094,Hausse,63.64,Technology,8793533.33,83.33333333333334,2025-07-21 01:25:54
ETOR,VENTE,-1.1,56.77999877929688,Baisse,46.54,Financial Services,,0.0,2025-07-21 00:06:27
GILT,ACHAT,7.699999999999999,7.889999866485596,Hausse,70.16,Technology,441396.67,60.0,2025-07-21 01:25:54
GLD,ACHAT,6.75,313.1300048828125,Hausse,58.16,ℹ️Inconnu!!,9400277.87,66.66666666666666,2025-07-21 17:43:19
GLD,ACHAT,6.075,313.0,Hausse,58.02,ℹ️Inconnu!!,9129284.63,66.66666666666666,2025-07-21 10:42:39
GLD,ACHAT,6.075,311.92498779296875,Hausse,56.83,ℹ️Inconnu!!,9058698.47,66.66666666666666,2025-07-21 09:44:58
GLW,ACHAT,9.2,54.0099983215332,Hausse,65.39,Technology,3622003.33,80.0,2025-07-21 01:25:54
GS,ACHAT,6.200000000000001,708.260009765625,Hausse,65.62,Financial Services,2280666.67,60.0,2025-07-21 01:25:54
INOD,ACHAT,6.2,49.27999877929688,Hausse,53.73,Technology,2547656.67,66.66666666666666,2025-07-21 01:25:54
META,ACHAT,5.800000000000001,712.9650268554688,Hausse,55.94,Communication Services,11617708.47,66.66666666666666,2025-07-21 17:43:19
MSFT,ACHAT,7.699999999999999,510.0499877929688,Hausse,73.08,Technology,18775270.0,71.42857142857143,2025-07-21 01:25:54
OKTA,ACHAT,7.4,95.43000030517578,Baisse,42.83,Technology,3131973.33,80.0,2025-07-21 01:25:54
QBTS,ACHAT,6.7,18.389999389648438,Hausse,61.3,Technology,50107957.1,66.66666666666666,2025-07-21 17:43:19
QBTS,ACHAT,6.25,18.88999938964844,Hausse,63.99,Technology,47415606.67,66.66666666666666,2025-07-21 10:42:39
SAP.DE,ACHAT,6.7,264.04998779296875,Hausse,55.11,Technology,1386036.1,60.0,2025-07-21 01:25:54
SMCI,ACHAT,6.25,51.77000045776367,Hausse,60.89,Technology,37681713.33,80.0,2025-07-21 01:25:54
SMTC,ACHAT,9.4,53.619998931884766,Hausse,72.63,Technology,2027990.0,75.0,2025-07-21 01:25:54
