Symbole,Signal,Score,Prix,Tendance,RSI,Domaine,Volume moyen,Fiabilite,detection_time
ABBN.SW,ACHAT,4.145,53.459999084472656,Hausse,69.06,Industrials,2599128.0,0.0,2025-07-29 08:18:55
AMD,VENTE,-1.577,173.66000366210938,Hausse,79.15,Technology,48407133.33,80.0,2025-07-29 08:18:55
ASML.AS,ACHAT,5.09,628.0,Baisse,45.56,Technology,539713.43,0.0,2025-07-29 08:18:55
ENR.DE,ACHAT,3.8499999999999996,97.9800033569336,Hausse,61.88,Industrials,1093303.57,100.0,2025-07-29 08:18:55
FLEX,ACHAT,7.148,50.4900016784668,Baisse,54.22,Technology,4675546.67,71.42857142857143,2025-07-29 08:18:55
HMY,ACHAT,5.098000000000001,13.869999885559082,Baisse,44.32,Basic Materials,3234946.67,0.0,2025-07-29 08:18:55
INOD,ACHAT,5.737,49.45000076293945,Hausse,53.82,Technology,2108333.33,75.0,2025-07-29 08:18:55
NVDA,ACHAT,4.303,176.75,Hausse,73.55,Technology,157254873.33,66.66666666666666,2025-07-29 08:18:55
OKTA,ACHAT,4.072000000000001,97.83999633789062,Hausse,48.94,Technology,2966730.0,75.0,2025-07-29 08:18:55
QCOM,ACHAT,4.072000000000001,161.0500030517578,Hausse,58.96,Technology,6905193.33,0.0,2025-07-29 08:18:55
RHM.DE,ACHAT,5.552,1723.0,Baisse,46.09,Industrials,268381.07,75.0,2025-07-29 08:18:55
SAP.DE,ACHAT,7.876000000000001,247.4499969482422,Baisse,40.88,Technology,1402495.2,75.0,2025-07-29 08:18:55
TSM,ACHAT,4.852,242.75,Hausse,62.33,Technology,8105553.33,75.0,2025-07-29 08:18:55
