Symbole,Signal,Score,Prix,Tendance,RSI,Domaine,Volume moyen,Fiabilite,detection_time
2318.HK,ACHAT,5.29,54.5,Hausse,65.17,Financial Services,54115887.2,0.0,2025-07-26 22:54:11
ABBN.SW,ACHAT,5.54,53.15999984741211,Hausse,69.01,Industrials,2632760.37,0.0,2025-07-26 22:54:11
BABA,ACHAT,8.34,120.02999877929688,Hausse,60.5,Consumer Cyclical,10001560.0,100.0,2025-07-26 22:54:11
ENR.DE,ACHAT,5.54,96.86000061035156,Hausse,61.54,Industrials,1033502.37,0.0,2025-07-26 22:54:11
GLW,ACHAT,9.22,55.36000061035156,Hausse,68.26,Technology,3860943.33,100.0,2025-07-26 22:54:11
GOOGL,ACHAT,9.385,193.17999267578125,Hausse,71.48,Communication Services,39682956.67,100.0,2025-07-26 22:54:11
GS,ACHAT,5.86,728.97998046875,Hausse,69.19,Financial Services,2216813.33,100.0,2025-07-26 22:54:11
HMY,ACHAT,4.6899999999999995,14.029999732971191,Baisse,45.82,Basic Materials,3471123.33,100.0,2025-07-26 22:54:11
INGA.AS,ACHAT,5.86,20.200000762939453,Hausse,68.37,Financial Services,8217972.73,100.0,2025-07-26 22:54:11
MP,ACHAT,3.3475,62.08000183105469,Hausse,78.09,Basic Materials,15444770.0,66.66666666666666,2025-07-26 22:54:11
QBTS,ACHAT,5.3625,18.8700008392334,Hausse,58.79,Technology,44141226.67,0.0,2025-07-26 22:54:11
SMSN.L,VENTE,-1.5100000000000005,1186.0,Hausse,58.54,Technology,8264.03,60.0,2025-07-26 22:54:11
SYM,ACHAT,6.9399999999999995,52.9900016784668,Hausse,67.97,Industrials,2762550.0,0.0,2025-07-26 22:54:11
TM,ACHAT,3.09,188.49000549316406,Hausse,62.74,Consumer Cyclical,485416.67,100.0,2025-07-26 22:54:11
TSM,ACHAT,12.88,245.60000610351562,Hausse,67.12,Technology,8147130.0,66.66666666666666,2025-07-26 22:54:11
UEC,ACHAT,8.405,8.90999984741211,Hausse,79.23,Energy,9467156.67,62.5,2025-07-26 22:54:11
WELL,ACHAT,8.8,161.55999755859375,Hausse,66.38,Real Estate,2859050.0,0.0,2025-07-26 22:54:11
